,Name,Gender,Matches,Wins,Win Rate %,Age
20,LIU Hsing-Yin (TPE),Female,334,159,47.60,37
21,LEITGEB Stefan (AUT),Male,324,159,49.07,30
22,IDOWU Saheed (CGO),Male,267,159,59.55,35
23,ZADEROVA Linda (CZE),Female,315,159,50.48,21
24,NG Pak Nam (HKG),Male,267,159,59.55,26
0,COSSIO Arantxa (MEX),Female,254,159,62.60,20
1,AL ABDULLA Abdulaziz (QAT),Male,326,159,48.77,14
2,RAJKOWSKA Katarzyna (POL),Female,256,159,62.11,16
3,CHEUNG Yuk (HKG),Male,269,158,58.74,43
4,LAY Jian Fang (AUS),Female,238,158,66.39,52
5,YOUSRY Amira (EGY),Female,224,158,70.54,27
6,CVETKO Tilen (SLO),Male,379,158,41.69,25
7,GRIGELOVA Natalia (SVK),Female,360,158,43.89,25
8,PAULIN Lea (SLO),Female,327,158,48.32,23
9,SAKAI Yuhi (JPN),Male,197,158,80.20,18
10,GILABERT Rodrigo (ARG),Male,268,157,58.58,33
11,DAS Ankita (IND),Female,309,157,50.81,31
12,MORALES Judith (CHI),Female,339,157,46.31,31
13,TRAN Anthony (SWE),Male,273,157,57.51,31
14,IMAMURA Yuko (GER),Female,242,157,64.88,29
15,MATSUYAMA Yuki (JPN),Male,250,157,62.80,26
16,HOLMSTEN Ellen (SWE),Female,278,157,56.47,24
17,TOMOIKE Eduardo (BRA),Male,222,157,70.72,24
18,VALENTA Jan (CZE),Male,296,157,53.04,24
19,HUZSVAR Erik (HUN),Male,266,157,59.02,21
20,KADLEC Vit (CZE),Male,264,157,59.47,19
21,WATANABE Tamito (JPN),Male,222,157,70.72,16
22,PENG Yu-Han (TPE),Female,201,157,78.11,17
23,SAREEN Aditya (AUS),Male,213,157,73.71,16
24,HIURA Reiko (JPN),Female,268,156,58.21,41
0,PRIMORAC Zoran (CRO),Male,267,156,58.43,55
1,YOSHIDA Kaii (JPN),Male,240,156,65.00,43
2,JONSSON Jennifer (SWE),Female,365,156,42.74,30
3,LUPU Diana (ROU),Female,251,156,62.15,27
4,LOGHRAIBI Lynda (ALG),Female,332,156,46.99,27
5,KULAKCEKEN Simay (TUR),Female,319,156,48.90,25
6,ALHODABY Marwa (EGY),Female,229,156,68.12,24
7,BESSA David (POR),Male,282,156,55.32,21
8,MITROFAN Luciana (ROU),Female,257,156,60.70,22
9,KVETON Ondrej (CZE),Male,291,156,53.61,20
10,BELROSE Ocean (PYF),Male,228,155,67.98,31
11,PAVLOVICH Veronika (AIN),Female,292,155,53.08,46
12,ABBAT Alice (FRA),Female,270,155,57.41,33
13,BHANDARKAR Mallika (IND),Female,292,155,53.08,30
14,POWELL David (AUS),Male,264,155,58.71,33
15,SUZUKI Rika (JPN),Female,219,155,70.78,30
16,HELMY Yousra (EGY),Female,321,155,48.29,29
17,PARK Jeongwoo (KOR),Male,223,155,69.51,28
18,VEDRIEL Carlos (ESP),Male,260,155,59.62,27
19,GRELA Artur (POL),Male,296,155,52.36,24
20,OCAL Gorkem (TUR),Male,221,155,70.14,13
21,SKOV Mie (DEN),Female,277,154,55.60,38
22,ESCARTIN Nora (ESP),Female,310,154,49.68,27
23,AVVARI Krishnateja (USA),Male,257,154,59.92,25
24,YU Cheng-Feng (TPE),Male,223,154,69.06,27
0,KISELEV Maksim (AIN),Male,266,154,57.89,26
1,ELHAKEM Karim (EGY),Male,240,154,64.17,25
2,CHOI Jiwook (KOR),Male,201,154,76.62,17
3,COLL Silvia (ESP),Female,282,154,54.61,19
4,BARABANOV Kiryl (AIN),Male,389,153,39.33,31
5,KORBEL Petr (CZE),Male,271,153,56.46,53
6,ENGELSON Maria (SWE),Female,312,153,49.04,29
7,SO Eka (JPN),Female,234,153,65.38,29
8,CHEN Feng (SGP),Male,254,153,60.24,31
9,BRUCKNER Mate (HUN),Male,292,153,52.40,26
10,TAY Ming Han Maxxe (SGP),Male,346,153,44.22,26
11,AMATO Antonino (ITA),Male,285,153,53.68,25
12,PAYET Denise (SEY),Female,336,153,45.54,23
13,VITEL Noah (FRA),Male,240,153,63.75,15
14,IVANCAN Irene (GER),Female,252,152,60.32,41
15,SHING Yoshua (VAN),Male,237,152,64.14,31
16,FUCEC Luka (CRO),Male,267,152,56.93,31
17,WU Erica (USA),Female,263,152,57.79,28
18,BACIOCCHI Alessandro (ITA),Male,302,152,50.33,29
19,WERECKI Aleksander (POL),Male,256,152,59.38,26
20,PAVCNIK Tamara (SLO),Female,322,152,47.20,27
21,KLOS Patrik (CZE),Male,301,152,50.50,27
22,LI Hsin-Yu (TPE),Male,213,152,71.36,22
23,AGBETOGLO Mawussi (TOG),Male,221,151,68.33,31
24,LEE Jungwoo (KOR),Male,230,151,65.65,40
0,SHOUMAN Mohamed (EGY),Male,243,151,62.14,31
1,YOO Eunchong (KOR),Female,261,151,57.85,31
2,BERHO Marina (FRA),Female,225,151,67.11,29
3,BJORKRYD David (SWE),Male,276,151,54.71,18
4,AOKI Sachi (JPN),Female,198,151,76.26,17
5,VARGA Botond (HUN),Male,270,151,55.93,17
6,KREANGA Kalinikos (GRE),Male,263,150,57.03,53
7,LEUNG Chu Yan (HKG),Male,264,150,56.82,45
8,CAMPOS Jorge (CUB),Male,243,150,61.73,33
9,TUBIKANEC Ivana (CRO),Female,308,150,48.70,30
10,YAN An (CHN),Male,198,150,75.76,32
11,TOFANT Ana (SLO),Female,371,150,40.43,26
12,BERNARD Jana (BEL),Female,249,150,60.24,24
13,RILISKYTE Emilija (LTU),Female,288,150,52.08,22
14,GOLDIR Jakub (SVK),Male,317,150,47.32,19
15,KIM Gaon (KOR),Male,184,150,81.52,19
16,MORSCH Lorena (GER),Female,252,150,59.52,16
17,KOKAVEC Pavol (SVK),Male,315,150,47.62,15
18,OOSTWOUDER Ewout (NED),Male,304,149,49.01,31
19,MERINGDAL Fredrik (NOR),Male,280,149,53.21,26
20,PANTOJA Miguel (ESP),Male,253,149,58.89,20
21,PIGUAVE Diego (ECU),Male,274,149,54.38,20
22,CECHOVA Dana (CZE),Female,340,148,43.53,41
23,HANFFOU Sarah (CMR),Female,257,148,57.59,38
24,OBESLO Michal (CZE),Male,260,148,56.92,35
0,CALDERON Julio (ESA),Male,273,148,54.21,29
1,STENER Jonas (SWE),Male,257,148,57.59,30
2,HUNG Daryl (HKG),Male,254,148,58.27,29
3,JOHANSSON Tilda (SWE),Female,297,148,49.83,27
4,GRININGER Thomas (AUT),Male,350,148,42.29,27
5,GUZMAN Andrea (PER),Female,265,148,55.85,26
6,YU Zong Jun Gerald (SGP),Male,280,148,52.86,23
7,CHAMBET-WEIL Remi (NED),Male,263,148,56.27,19
8,MUHLBACH Kathrin (GER),Female,229,147,64.19,33
9,KHLYZOVA Elizaveta (AIN),Female,238,147,61.76,28
10,ARGUELLES Camila (ARG),Female,312,147,47.12,35
11,PIERAERT Valentin (BEL),Male,304,147,48.36,25
12,RAKOTOARIMANANA Fabio (MAD),Male,231,147,63.64,21
13,TOFTAKER Martine (NOR),Female,296,147,49.66,21
14,LOVHA Mykhailo (SVK),Male,215,147,68.37,17
15,PILARD Nathan (FRA),Male,226,147,65.04,17
16,WANG Lisa (GER),Female,216,147,68.06,15
17,KOSOWSKI Jakub (POL),Male,249,146,58.63,42
18,LI Ching (HKG),Male,244,146,59.84,50
19,RECH DALDOSSO Marco (ITA),Male,299,146,48.83,32
20,NIETO Janina (PER),Female,253,146,57.71,26
21,BRAT Adam (SVK),Male,380,146,38.42,26
22,FEJER-KONNERTH Zoltan (GER),Male,244,145,59.43,46
23,OYA Hidetoshi (JPN),Male,217,145,66.82,36
24,TIKHOMIROVA Anna (AIN),Female,238,145,60.92,40
0,LEE Dasom (KOR),Female,237,145,61.18,29
1,GALVANO Nicolas (ARG),Male,302,145,48.01,30
2,SREBRNJAK Dorina (CRO),Female,299,145,48.49,27
3,NAGYPAL Csilla (HUN),Female,294,145,49.32,27
4,CARLSEN Rebekka (NOR),Female,327,145,44.34,25
5,SAEGER Luisa (GER),Female,221,145,65.61,25
6,YU Hsiu-Ting (TPE),Female,242,145,59.92,23
7,ZANDECKI Jan (POL),Male,285,145,50.88,24
8,GOMES Goncalo (POR),Male,286,145,50.70,22
9,MATI Taiwo (NGR),Male,216,145,67.13,19
10,TOLGYES Dorottya (HUN),Female,241,145,60.17,20
11,WU Ying Syuan (TPE),Female,176,145,82.39,16
12,CANTERO Jesus (ESP),Male,261,144,55.17,43
13,MOON Hyunjung (KOR),Female,220,144,65.45,40
14,SUCH Bartosz (POL),Male,227,144,63.44,42
15,GUAN Angela (USA),Female,224,144,64.29,26
16,ALGUETTI Gal (USA),Male,257,144,56.03,23
17,LIN Po-Hsuan (TPE),Female,225,144,64.00,28
18,DYMYTRENKO Anastasiya (UKR),Female,267,144,53.93,22
19,PARK Youngsook (KOR),Female,245,143,58.37,36
20,WU Yue (USA),Female,237,143,60.34,35
21,VILA Isaac (DOM),Male,265,143,53.96,28
22,SCHUH Anja (GER),Female,283,143,50.53,30
23,YARASHENKA Vadim (AIN),Male,301,143,47.51,28
24,MORAVEK Jindrich (CZE),Male,277,143,51.62,18
0,IWAIDA Shunto (JPN),Male,191,143,74.87,15
1,WANI Sayali (IND),Female,217,143,65.90,18
2,KOVAC Borna (CRO),Male,273,142,52.01,34
3,SVENSSON Robert (SWE),Male,243,142,58.44,41
4,VANROSSOMME Emilien (BEL),Male,248,142,57.26,31
5,SPELBUS Alin (ROU),Male,305,142,46.56,29
6,SCHMID Elia (SUI),Male,269,142,52.79,28
7,SPELBUS Florin (ROU),Male,285,142,49.82,26
8,ELBORHAMY Ahmed (EGY),Male,219,142,64.84,23
9,CARNEROS Alfredo (ESP),Male,257,141,54.86,46
10,PROKOPCOV Dmitrij (CZE),Male,246,141,57.32,45
11,YEE Herng Hwee (SGP),Female,320,141,44.06,27
12,JIN Takuya (JPN),Male,210,141,67.14,32
13,ORIBAMISE Esther (NGR),Female,248,141,56.85,23
14,ZHANG Rui (CHN),Female,178,141,79.21,28
15,PARK Gyeongtae (KOR),Male,227,141,62.11,22
16,HOLDA Karolina (POL),Female,222,141,63.51,18
17,LIN Chin-Ting (TPE),Male,191,141,73.82,15
18,WEN Ruibo (CHN),Male,162,141,87.04,18
19,HEO Yerim (KOR),Female,186,141,75.81,14
20,DAS Mouma (IND),Female,272,140,51.47,41
21,MOSCONI Veronica (ITA),Female,292,140,47.95,26
22,YU Ziyang (CHN),Male,172,140,81.40,26
23,TVEIT Leah (SWE),Female,290,140,48.28,20
24,NIU Guankai (CHN),Male,176,140,79.55,23
0,KORANI Ahmed (QAT),Male,288,140,48.61,17
1,BLASZCZYK Marcel (POL),Male,195,140,71.79,18
2,FUJII Hiroko (JPN),Female,236,139,58.90,42
3,HO Andre (CAN),Male,248,139,56.05,32
4,LIN Ling (HKG),Female,219,139,63.47,47
5,MERZLIKIN Taras (AIN),Male,259,139,53.67,33
6,LI Xue (FRA),Female,222,139,62.61,39
7,RIOFRIO Emiliano (ECU),Male,276,139,50.36,26
8,LIU Qi (HKG),Female,270,139,51.48,26
9,POON Yat (ENG),Female,223,139,62.33,20
10,CAI Fong-En (TPE),Female,204,139,68.14,22
11,ZONG Geman (CHN),Female,177,139,78.53,18
12,CAVAILLE Sandro (FRA),Male,225,139,61.78,16
13,BAGGALEY Andrew (ENG),Male,232,138,59.48,42
14,GAO Jun (USA),Female,207,138,66.67,56
15,PAPAGEORGIOU Konstantinos (GRE),Male,273,138,50.55,46
16,HAN Xing (CGO),Female,175,138,78.86,35
17,KIM Song I (PRK),Female,176,138,78.41,30
18,TAKAMI Masaki (JPN),Male,219,138,63.01,25
19,WISUTMAYTHANGKOON Supanut (THA),Male,291,138,47.42,28
20,HAMACHE Bilal (FRA),Male,199,138,69.35,22
21,VARTIKAR Pritha (IND),Female,214,138,64.49,18
22,AL TAHER Abdulrahman (KSA),Male,197,138,70.05,13
23,REZETKA Roman (SVK),Male,257,137,53.31,29
24,SAMOKYSH Kyrylo (UKR),Male,228,137,60.09,27
0,HAJ SALAH Abir (TUN),Female,281,137,48.75,24
1,MASIP Joan (ESP),Male,283,137,48.41,25
2,GOMEZ Leyla (PAR),Female,230,137,59.57,24
3,RUIZ Francisco Miguel (ESP),Male,288,137,47.57,23
4,YOSHIMURA Kazuhiro (JPN),Male,205,137,66.83,28
5,GIL Minseok (KOR),Male,183,137,74.86,20
6,YANG Huize (CHN),Female,168,137,81.55,15
7,HE Zhiwen (ESP),Male,218,136,62.39,62
8,ARVIDSSON Simon (SWE),Male,215,136,63.26,35
9,TOMA Danilo (BRA),Male,203,136,67.00,32
10,PREIDZIUTE Ingrida (LTU),Female,246,136,55.28,30
11,VITE Marlon (ECU),Male,266,136,51.13,27
12,FRANCO Carlos (ESP),Male,272,136,50.00,31
13,CHIU Ssu-Hua (TPE),Female,220,136,61.82,28
14,BILAS Arthur (BEL),Male,232,136,58.62,27
15,PENKAVOVA Katerina (CZE),Female,238,135,56.72,37
16,OMOTAYO Olajide (NGR),Male,244,135,55.33,29
17,FRONT Erika (SWE),Female,282,135,47.87,27
18,CASTRO Esmerlyn (DOM),Female,248,135,54.44,23
19,KHAYYAM Radin (IRI),Male,217,135,62.21,21
20,KOURAICHI Alexis (FRA),Male,212,135,63.68,21
21,HSU Hsien-Chia (TPE),Male,189,135,71.43,16
22,MICHNA Samuel (POL),Male,214,135,63.08,16
23,AXELQVIST Johan (SWE),Male,218,134,61.47,40
24,ELOI Damien (FRA),Male,233,134,57.51,55
0,LIN Ju (DOM),Male,173,134,77.46,45
1,YU Kwok See (HKG),Female,269,134,49.81,38
2,ZHANG Rui (HKG),Female,236,134,56.78,46
3,SUBOTIC Dragan (SRB),Male,206,134,65.05,31
4,SOTO Gabriela (PER),Female,269,134,49.81,29
5,YIN Jing Yuan (SGP),Male,202,134,66.34,28
6,KOTOV Anton (AIN),Male,220,134,60.91,25
7,GUTIERREZ Marc (ESP),Male,239,134,56.07,22
8,CRISTOBAL Ainhoa (ESP),Female,285,134,47.02,21
9,GREBENIUK Andrii (UKR),Male,245,134,54.69,21
10,GABER Yassin (EGY),Male,189,134,70.90,17
11,HASPEL Matej (GER),Male,259,134,51.74,16
12,GAVLAS Antonin (CZE),Male,261,133,50.96,39
13,HAO Shuai (CHN),Male,176,133,75.57,41
14,ROGIERS Benjamin (BEL),Male,247,133,53.85,35
15,STERNBERG Kasper (DEN),Male,276,133,48.19,36
16,MAMIA Thameur (TUN),Male,249,133,53.41,29
17,CEKIC Irfan (MNE),Male,193,133,68.91,31
18,KAIM Julia (GER),Female,200,133,66.50,26
19,LOVET Idalys (CUB),Female,214,133,62.15,27
20,ALNASER Rawad (QAT),Male,270,133,49.26,17
21,PODAR Robert (ROU),Male,227,133,58.59,17
22,VAN DESSEL Mael (LUX),Male,219,133,60.73,19
23,KERTAI Rita (HUN),Female,244,132,54.10,46
24,OSHONAIKE Olufunke (NGR),Female,226,132,58.41,49
0,TOWNSEND Kane (AUS),Male,216,132,61.11,31
1,GUAN Mengyuan (HKG),Female,240,132,55.00,33
2,HUNG Wah Tak (HKG),Male,231,132,57.14,29
3,KUCERA Stanislav (CZE),Male,260,132,50.77,28
4,PETROVOVA Nikita (CZE),Female,285,132,46.32,25
5,CHIRITA Cristian (ROU),Male,230,132,57.39,24
6,BESNIER Celian (FRA),Male,188,132,70.21,20
7,HENCL Ivan (CRO),Male,268,132,49.25,18
8,SHAPOSHNIKOV Stepan (AIN),Male,228,131,57.46,28
9,ELSHAWA Ziad (EGY),Male,191,131,68.59,21
10,BARCENAS Clio (MEX),Female,197,131,66.50,22
11,ZAVADA Mykyta (UKR),Male,232,131,56.47,19
12,DAS Syndrela (IND),Female,171,131,76.61,15
13,ODOROVA Eva (SVK),Female,222,130,58.56,45
14,STEFANSKA Kinga (POL),Female,248,130,52.42,45
15,TOSIC Roko (CRO),Male,238,130,54.62,45
16,RADONJIC Aleksandra (SRB),Female,214,130,60.75,31
17,SILVA Paulo (POR),Male,250,130,52.00,26
18,LLORCA Damien (FRA),Male,198,130,65.66,25
19,MENAND Remi (FRA),Male,189,130,68.78,26
20,YANG Hao-Jen (TPE),Male,172,130,75.58,17
21,PROHASKA Manuel (GER),Male,220,130,59.09,17
22,GIRLINGER Benjamin (AUT),Male,268,130,48.51,16
23,PIWOWAR Kacper (ENG),Male,238,130,54.62,14
24,SUN Yang (CHN),Male,146,130,89.04,17
0,CREEMERS Linda (NED),Female,260,129,49.62,40
1,KO Lai Chak (HKG),Male,208,129,62.02,48
2,MIAO Miao (AUS),Female,220,129,58.64,44
3,BEN ARI Omri (ISR),Male,278,129,46.40,35
4,XIAO Phillip (NZL),Male,203,129,63.55,34
5,SEOK Hajung (KOR),Female,224,129,57.59,40
6,HU Heming (AUS),Male,249,129,51.81,31
7,RODE Marc (GER),Male,203,129,63.55,29
8,SEMENOV Andrey (AIN),Male,237,129,54.43,27
9,JOST Frederick (GER),Male,205,129,62.93,30
10,ZHOU Kai (CHN),Male,169,129,76.33,29
11,CAKOL Klara (CRO),Female,266,129,48.50,26
12,KOSZULAP Natacha (BEL),Female,292,129,44.18,25
13,LIM Eunice (SGP),Female,266,129,48.50,24
14,DANIELSSON Oskar (SWE),Male,196,129,65.82,24
15,KHADER Khaled (JOR),Male,261,129,49.43,24
16,BAASAN Nomin (SWE),Female,259,129,49.81,20
17,ALSHAREIF Khalid (KSA),Male,270,129,47.78,20
18,LI Hu (SGP),Male,191,128,67.02,36
19,SMIRNOV Aleksandr (EST),Male,272,128,47.06,39
20,BRESSAN Luca (ITA),Male,248,128,51.61,27
21,HACKEMACK Lauranne (BEL),Female,227,128,56.39,27
22,LIYAU Juan (PER),Male,203,128,63.05,26
23,SURAVAJJULA Snehit (IND),Male,241,128,53.11,24
24,CAVAILLE Jules (FRA),Male,193,128,66.32,22
0,AL-KUWARI Sultan (QAT),Male,289,128,44.29,16
1,SZTWIERTNIA Ilona (POL),Female,234,128,54.70,20
2,HERSEL Noah (GER),Male,222,128,57.66,17
3,ABDELAZIZ Farah (EGY),Female,234,127,54.27,32
4,DESSAINT Aurore (FRA),Female,218,127,58.26,33
5,OVERSJO Mattias (SWE),Male,211,127,60.19,33
6,PATKAR Madhurika (IND),Female,276,127,46.01,37
7,SHAHSAVARI Neda (IRI),Female,258,127,49.22,38
8,SONG Maeum (KOR),Female,203,127,62.56,32
9,BIENATIKI Christ (CGO),Male,255,127,49.80,27
10,KUO Chia-Yun (TPE),Female,252,127,50.40,27
11,KANG Dayeon (KOR),Female,218,127,58.26,25
12,RUB Elina (AIN),Female,175,127,72.57,23
13,NAKASHIMA Alexia (BRA),Female,184,127,69.02,25
14,ZHANG Wanling (SGP),Female,308,127,41.23,25
15,SANTOS Patricia (POR),Female,264,127,48.11,20
16,RINDERER Daniel (GER),Male,216,127,58.80,23
17,SKALA Radek (CZE),Male,223,127,56.95,23
18,YAMANE Hamilton (BRA),Male,187,127,67.91,16
19,AVEZOU Agathe (FRA),Female,201,127,63.18,18
20,SAKOWICZ Mateusz (POL),Male,209,127,60.77,16
21,KHEROUF Sami (ALG),Male,233,126,54.08,36
22,LAU Sui Fei (HKG),Female,213,126,59.15,43
23,KENJAEV Zokhid (UZB),Male,210,126,60.00,33
24,NINO Neridee (VEN),Female,256,126,49.22,26
0,SHU Dean (NZL),Male,250,126,50.40,26
1,MIYAZAKI Tomo (JPN),Male,239,126,52.72,27
2,CHEN Ke (CHN),Female,160,126,78.75,28
3,NALEPA Kamil (POL),Male,252,126,50.00,26
4,WANG Tai-Wei (TPE),Male,193,126,65.28,28
5,ANDO Minami (JPN),Female,165,126,76.36,28
6,ALKHOUSKAYA Ulyana (AIN),Female,244,126,51.64,21
7,WU Yangchen (CHN),Female,156,126,80.77,23
8,SASTRE Eugenia (ESP),Female,262,126,48.09,19
9,FORMELA Rafal (POL),Male,199,126,63.32,17
10,CHEN Min-Hsin (TPE),Female,166,126,75.90,15
11,CIPIN Filip (CRO),Male,231,125,54.11,31
12,HAGERAATS Koen (NED),Male,241,125,51.87,29
13,TRUZSINSZKI Viktoria (SRB),Female,217,125,57.60,30
14,TURCEK Peter (SVK),Male,218,125,57.34,29
15,SANTOS Marta (POR),Female,236,125,52.97,27
16,SORIA Javier (ESP),Male,265,125,47.17,25
17,AKASHEVA Zauresh (KAZ),Female,305,125,40.98,24
18,LILLO Alberto (ESP),Male,251,125,49.80,24
19,YEE Grace Rosi (FIJ),Female,320,125,39.06,22
20,VUKELIC Marta (CRO),Female,254,125,49.21,23
21,ERNST Emine (NED),Female,258,125,48.45,21
22,WAEL Yassin (EGY),Male,200,125,62.50,18
23,SFERLEA Alesia (ROU),Female,217,125,57.60,17
24,IZZO Giacomo (ITA),Male,221,125,56.56,18
0,TSAO Erny (AUS),Male,245,124,50.61,28
1,KLAUS David (AUT),Male,299,124,41.47,27
2,YOVKOVA Maria (BUL),Female,293,124,42.32,25
3,PUIA Lalrin (IND),Male,213,124,58.22,26
4,TSAPTSINOS Maria (ENG),Female,255,124,48.63,27
5,ZOVKO Lovro (CRO),Male,286,124,43.36,21
6,SOMA Yumeno (JPN),Female,164,124,75.61,22
7,SJOGREN Elias (SWE),Male,268,124,46.27,19
8,SISANOVAS Ignas (LTU),Male,222,124,55.86,18
9,GUBRAN Ebrahim (YEM),Male,229,124,54.15,18
10,YOSHIYAMA Ryoichi (JPN),Male,170,124,72.94,20
11,XU Yi (CHN),Female,160,124,77.50,19
12,GATICA Hector (GUA),Male,243,123,50.62,40
13,LIU Song (ARG),Male,189,123,65.08,52
14,BRODD Viktor (SWE),Male,186,123,66.13,34
15,MONTERO Winberly (VEN),Female,236,123,52.12,29
16,WANG Timothy (USA),Male,206,123,59.71,33
17,PETER Ingemar (SVK),Male,233,123,52.79,28
18,PERSOLJA Ludvik (SLO),Male,238,123,51.68,29
19,MACIEL Patricia (POR),Female,257,123,47.86,28
20,AL-SANADI Jassim (QAT),Male,212,123,58.02,27
21,CARRILLO Sergio (GUA),Male,227,123,54.19,22
22,LIMONOV Anton (UKR),Male,257,123,47.86,23
23,TU Wenna (GER),Female,191,123,64.40,22
24,LEE Seungeun (KOR),Female,154,123,79.87,17
0,PAULINA Erik (ITA),Male,218,123,56.42,15
1,HIELSCHER Lars (GER),Male,200,122,61.00,45
2,SIRUCKOVA Aneta (CZE),Female,260,122,46.92,33
3,OMRANI Seyed Pourya (IRI),Male,236,122,51.69,30
4,HIRANO Yuki (JPN),Male,181,122,67.40,32
5,LAID Islem (ALG),Female,249,122,49.00,30
6,HUNG Hung (TPE),Female,228,122,53.51,26
7,HARDMEIER Elias (SUI),Male,252,122,48.41,22
8,SOLODKYI Nazarii (UKR),Male,198,122,61.62,16
9,LEGOUT Christophe (FRA),Male,223,121,54.26,51
10,SCHALL Elke (GER),Female,219,121,55.25,51
11,MCCREERY Paul (IRL),Male,219,121,55.25,32
12,TORANZOS Alejandro (PAR),Male,260,121,46.54,28
13,OCONNOR Miikka (FIN),Male,324,121,37.35,28
14,WHEELER Christopher (SCO),Male,247,121,48.99,25
15,SERDAROGLU David (AUT),Male,320,121,37.81,29
16,ORAC Daniel (SVK),Male,253,121,47.83,25
17,HODAEI Amir Hossein (IRI),Male,245,121,49.39,26
18,ONDERKA Frantisek (CZE),Male,223,121,54.26,23
19,ZOGHLAMI Maram (TUN),Female,245,121,49.39,20
20,THANMATHIKOM Napat (THA),Male,221,121,54.75,20
21,YOKOTANI Jo (JPN),Male,171,121,70.76,22
22,SRIVASTAVA Divyansh (IND),Male,166,121,72.89,20
23,LEON Edmarie (PUR),Female,180,121,67.22,18
24,BENJEGARD Siri (SWE),Female,179,121,67.60,13
0,VERDONSCHOT Wim (GER),Male,181,121,66.85,19
1,FENG Xiaoquan (AUT),Male,226,120,53.10,38
2,RAMIREZ Jose Miguel (GUA),Male,195,120,61.54,42
3,VANG Bora (TUR),Male,178,120,67.42,37
4,ZHOU Yu (CHN),Male,150,120,80.00,32
5,SUAREZ Gabriela (ESA),Female,227,120,52.86,23
6,CHEN Chun-Hsiang (TPE),Male,222,120,54.05,26
7,CHANDRA Jeet (IND),Male,233,120,51.50,25
8,OPREA Dragos Florin (ROU),Male,222,120,54.05,24
9,STEPANOVA Gabriela (CZE),Female,253,120,47.43,24
10,XU Nathan (NZL),Male,195,120,61.54,21
11,IVANOVA Anastasiia (AIN),Female,179,120,67.04,17
12,GERGELY Mark (HUN),Male,200,120,60.00,15
13,SHAKIBA Faraz (IRI),Male,145,120,82.76,13
14,HOYAMA Hugo (BRA),Male,206,119,57.77,55
15,PERSSON Jorgen (SWE),Male,213,119,55.87,58
16,TASHIRO Saki (JPN),Female,201,119,59.20,34
17,LOPEZ Analdy (GUA),Female,230,119,51.74,29
18,AVRAMOV Itamar (ISR),Male,191,119,62.30,29
19,KHATCHANOV Martin (NED),Male,242,119,49.17,29
20,SKIRMANTAS Benas (LTU),Male,252,119,47.22,26
21,CHEN Hongtao (CAN),Male,176,119,67.61,30
22,LIAO Ivy (CAN),Female,265,119,44.91,23
23,PLAEASU Mihaela (ROU),Female,201,119,59.20,25
24,PONS Arnau (ESP),Male,218,119,54.59,22
0,HAMADA Kazuki (JPN),Male,170,119,70.00,21
1,BAE Won (AUS),Male,179,119,66.48,16
2,FERTIKOWSKI Pawel (POL),Male,200,118,59.00,34
3,HINSE Pierre-Luc (CAN),Male,237,118,49.79,37
4,SAKA Suraju (CGO),Male,180,118,65.56,48
5,TAN Wenling (ITA),Female,209,118,56.46,52
6,FANG Bo (CHN),Male,156,118,75.64,33
7,KETSKO Olesja (EST),Female,209,118,56.46,28
8,DAN Daniel (ROU),Male,216,118,54.63,30
9,RAMIREZ Laura (ESP),Female,270,118,43.70,28
10,RASHED Rashed (BRN),Male,215,118,54.88,27
11,DANI Mudit (IND),Male,266,118,44.36,26
12,BEN YAHIA Kerem (TUN),Male,201,118,58.71,28
13,DUFFY Jake (AUS),Male,209,118,56.46,26
14,SEVCIKOVA Marketa (CZE),Female,236,118,50.00,26
15,WATS Xavier (BEL),Male,232,118,50.86,19
16,TOMICA Andrei (ROU),Male,227,118,51.98,20
17,MOBAREK Lucie (ALG),Female,207,118,57.00,20
18,YANG Yiyun (CHN),Female,148,118,79.73,21
19,CEDENO Jeremy (ECU),Male,213,118,55.40,19
20,SAMUOLIS Dominykas (DEN),Male,184,118,64.13,18
21,KATKOV Ivan (UKR),Male,212,117,55.19,40
22,MOLNAR Cornelia (CRO),Female,215,117,54.42,41
23,WAGNER Florian (GER),Male,192,117,60.94,31
24,KOPANYI Tomas (SVK),Male,253,117,46.25,27
0,SAADAOUI Mootezz (TUN),Male,187,117,62.57,26
1,BOGIE Roel (NED),Male,207,117,56.52,24
2,ISAKOV Ilya (AIN),Male,205,117,57.07,25
3,HARAC Ece (TUR),Female,254,117,46.06,22
4,LIMA Livia (BRA),Female,173,117,67.63,22
5,WANG Chen-You (TPE),Male,173,117,67.63,20
6,LEBEDA Matyas (CZE),Male,271,117,43.17,19
7,LYTVYN Mariia (AUT),Female,203,117,57.64,14
8,SU Tsz Tung (HKG),Female,153,117,76.47,16
9,IBRAHIM Muhd Shakirin (MAS),Male,201,116,57.71,39
10,OWEN Naomi (WAL),Female,237,116,48.95,36
11,REED Daniel (ENG),Male,243,116,47.74,35
12,KONSBRUCK Danielle (LUX),Female,229,116,50.66,32
13,ALMENDARIZ Tania (ECU),Female,184,116,63.04,32
14,WILSON Aaron (TTO),Male,271,116,42.80,26
15,MALHEIRO Antonio (POR),Male,206,116,56.31,27
16,LOY Meng Hean Darren (SGP),Male,304,116,38.16,26
17,REUST Celine (SUI),Female,346,116,33.53,27
18,TRAN Michael Minh (USA),Male,194,116,59.79,22
19,PENG Wang-Wei (TPE),Male,245,116,47.35,28
20,ANTONIO Alessio (ANG),Male,198,116,58.59,25
