,Name,Gender,Matches,Wins,Win Rate %,Age
20,OLIVARES Felipe (CHI),Male,585,360,61.54,33
21,GUSEVA Ekaterina (AIN),Female,589,360,61.12,29
22,HUNG Tzu-Hsiang (TPE),Male,560,359,64.11,31
23,KHETKHUAN Tamolwan (THA),Female,558,359,64.34,27
24,MAJOROS Bence (HUN),Male,601,357,59.40,27
0,SANCHI Francisco (ARG),Male,515,357,69.32,26
1,LUPULESKU Izabela (SRB),Female,599,356,59.43,25
2,WEGRZYN Anna (POL),Female,553,356,64.38,24
3,BLASKOVA Zdena (CZE),Female,554,356,64.26,24
4,GHOSH Soumyajit (IND),Male,548,355,64.78,31
5,EERLAND Britt (NED),Female,572,355,62.06,31
6,LAURENTI Jamila (ITA),Female,570,355,62.28,22
7,MADARASZ Dora (HUN),Female,595,354,59.50,31
8,HUANG Chien-Tu (TPE),Male,496,354,71.37,27
9,TAKAHASHI Giulia (BRA),Female,503,354,70.38,19
10,LEE Sang Su (KOR),Male,583,353,60.55,34
11,BRITO Eva (DOM),Female,542,353,65.13,29
12,SIDORENKO Vladimir (AIN),Male,489,353,72.19,22
13,LEE Ka Yee (HKG),Female,490,352,71.84,22
14,HAMAMOTO Yui (AUT),Female,527,351,66.60,26
15,HIRANO Sayaka (JPN),Female,548,349,63.69,40
16,WANG Manyu (CHN),Female,407,349,85.75,26
17,STUMPER Kay (GER),Male,501,349,69.66,22
18,MINO Alberto (ECU),Male,548,348,63.50,34
19,BAN Ivor (CRO),Male,523,347,66.35,21
20,JEOUNG Youngsik (KOR),Male,532,346,65.04,33
21,WANG Liqin (CHN),Male,419,346,82.58,46
22,WONG Chun Ting (HKG),Male,604,346,57.28,33
23,CASSIN Alexandre (FRA),Male,508,346,68.11,26
24,WINTER Sabine (GER),Female,560,345,61.61,32
0,RAKOVAC Lea (CRO),Female,543,345,63.54,29
1,GNANASEKARAN Sathiyan (IND),Male,579,344,59.41,32
2,MATSUMOTO Cazuo (BRA),Male,532,343,64.47,39
